,portfolio,investment,cash
2017-01-02,1000000.0,0.0,1000000.0
2017-01-09,1000000.0,0.0,1000000.0
2017-01-16,1000000.0,0.0,1000000.0
2017-01-23,1000000.0,0.0,1000000.0
2017-01-30,1000000.0,0.0,1000000.0
2017-02-06,1000000.0,0.0,1000000.0
2017-02-13,1000000.0,0.0,1000000.0
2017-02-20,1000000.0,0.0,1000000.0
2017-02-27,1000000.0,0.0,1000000.0
2017-03-06,1000000.0,0.0,1000000.0
2017-03-13,1000000.0,0.0,1000000.0
2017-03-20,1000000.0,0.0,1000000.0
2017-03-27,1000000.0,0.0,1000000.0
2017-04-03,1000000.0,0.0,1000000.0
2017-04-10,1000000.0,0.0,1000000.0
2017-04-17,1000000.0,0.0,1000000.0
2017-04-24,1000000.0,0.0,1000000.0
2017-05-01,1000000.0,0.0,1000000.0
2017-05-08,1000000.0,0.0,1000000.0
2017-05-15,1000000.0,0.0,1000000.0
2017-05-22,1000000.0,0.0,1000000.0
2017-05-29,1000000.0,0.0,1000000.0
2017-06-05,1000000.0,0.0,1000000.0
2017-06-12,1000000.0,0.0,1000000.0
2017-06-19,1000000.0,0.0,1000000.0
2017-06-26,1000000.0,0.0,1000000.0
2017-07-03,1000000.0,0.0,1000000.0
2017-07-10,1000000.0,0.0,1000000.0
2017-07-17,1000000.0,0.0,1000000.0
2017-07-24,1000000.0,0.0,1000000.0
2017-07-31,1000000.0,0.0,1000000.0
2017-08-07,1000000.0,0.0,1000000.0
2017-08-14,1000000.0,0.0,1000000.0
2017-08-21,1000000.0,0.0,1000000.0
2017-08-28,1000000.0,0.0,1000000.0
2017-09-04,1000000.0,0.0,1000000.0
2017-09-11,1000000.0,0.0,1000000.0
2017-09-18,1000000.0,0.0,1000000.0
2017-09-25,1000000.0,0.0,1000000.0
2017-10-02,1000000.0,0.0,1000000.0
2017-10-09,1000000.0,0.0,1000000.0
2017-10-16,1000000.0,0.0,1000000.0
2017-10-23,1000000.0,0.0,1000000.0
2017-10-30,1000000.0,0.0,1000000.0
2017-11-06,1000000.0,0.0,1000000.0
2017-11-13,1000000.0,0.0,1000000.0
2017-11-20,1000000.0,0.0,1000000.0
2017-11-27,1000000.0,0.0,1000000.0
2017-12-04,1000000.0,0.0,1000000.0
2017-12-11,1000000.0,0.0,1000000.0
2017-12-18,1000000.0,0.0,1000000.0
2017-12-25,1000000.0,0.0,1000000.0
2018-01-01,1000000.0,0.0,1000000.0
2018-01-08,1000000.0,0.0,1000000.0
2018-01-15,1000000.0,0.0,1000000.0
2018-01-22,1000000.0,0.0,1000000.0
2018-01-29,1000000.0,0.0,1000000.0
2018-02-05,1000000.0,0.0,1000000.0
2018-02-12,1000000.0,0.0,1000000.0
2018-02-19,1000000.0,0.0,1000000.0
2018-02-26,1000000.0,0.0,1000000.0
2018-03-05,1000000.0,0.0,1000000.0
2018-03-12,1000000.0,0.0,1000000.0
2018-03-19,1000000.0,0.0,1000000.0
2018-03-26,1000000.0,0.0,1000000.0
2018-04-02,1000000.0,0.0,1000000.0
2018-04-09,1000000.0,0.0,1000000.0
2018-04-16,1000000.0,0.0,1000000.0
2018-04-23,1000000.0,0.0,1000000.0
2018-04-30,1000000.0,0.0,1000000.0
2018-05-07,1000000.0,0.0,1000000.0
2018-05-14,1000000.0,0.0,1000000.0
2018-05-21,1000000.0,0.0,1000000.0
2018-05-28,1000000.0,0.0,1000000.0
2018-06-04,1000000.0,0.0,1000000.0
2018-06-11,1000000.0,0.0,1000000.0
2018-06-18,1000000.0,0.0,1000000.0
